U,sigma_U,TI
7.26776,0.346794,0.047716765550871246
8.04129,0.606448,0.07541675527185314
9.37138,0.365505,0.0390022600726894
9.5361,0.221879,0.023267268589884753
9.68021,0.260812,0.02694280392677431
10.0554,0.159879,0.01589981502476281
10.0108,0.189189,0.018898489631198306
10.3845,0.250807,0.024152053541335646
11.162,0.231579,0.02074708833542376
11.364,0.176416,0.015524111228440688
11.8712,0.383403,0.03229690343015028
13.03,0.377661,0.028983960092095168
13.7245,0.135639,0.00988298298662975
13.9364,0.21604,0.015501851267185212
14.4836,0.125241,0.008647090502361291
13.9908,0.220766,0.0157793692998256
13.9621,0.22736,0.01628408333989873
13.1096,0.468953,0.035771724537743334
12.5606,0.47102,0.03749980096492205
12.7305,0.436977,0.034325203252032525
12.9896,0.571206,0.04397410235881013
12.6364,0.598069,0.04732906524010003
11.7611,0.667787,0.05677929785479249
11.2243,0.830315,0.07397476902791265
11.8395,0.417175,0.035235863000971326
12.2593,0.737297,0.06014185149233643
12.5018,0.892016,0.07135100545521446
12.8335,0.883284,0.06882643082557369
13.8839,0.371465,0.02675509042848191
13.293,0.627137,0.04717798841495524
12.8786,0.66212,0.05141242060472412
13.2969,0.25493,0.019172137866720812
12.4698,0.746043,0.05982798441033538
12.3121,0.628061,0.051011687689346254
11.7066,0.580381,0.04957724702304683
11.8308,0.375911,0.03177392906650438
11.6094,0.408965,0.035227057384533224
11.926,0.53193,0.04460254905249036
12.1265,0.650908,0.053676493629654064
12.199,0.468032,0.03836642347733421
12.176,0.689106,0.056595433639947436
11.9724,0.578519,0.04832105509338144
12.6454,0.298555,0.02360977114207538
12.6632,0.528785,0.04175761260976688
12.0387,0.445697,0.03702202065007019
12.4046,0.690189,0.05563976266868743
13.0628,0.694645,0.05317734329546498
13.0865,0.62133,0.047478699423069586
12.7164,0.594164,0.04672423012802365
12.3823,0.675523,0.05455553491677636
11.6873,0.431198,0.03689457787512942
10.9757,0.388364,0.035383984620570894
9.91389,0.565696,0.05706095185643576
9.50411,0.331724,0.034903215556217254
8.57713,0.363564,0.0423876051779558
7.28929,0.462592,0.06346187351580194
6.68908,0.291684,0.04360599663929868
6.41979,0.244676,0.038112773159246646
6.00767,0.204169,0.0339847228626073
6.38922,0.182923,0.028629942309076853
6.1741,0.288374,0.04670705042030417
6.24084,0.375351,0.0601443074970677
7.2791,0.326776,0.044892363066862666
7.45008,0.323072,0.04336490346412388
7.17076,0.385554,0.05376752254991103
6.4509,0.276464,0.04285665566045048
7.29388,0.385933,0.052911893258457784
6.28284,0.295213,0.0469871905062042
6.40319,0.366889,0.05729784685445848
6.36433,0.505854,0.07948267924510515
5.88024,0.975789,0.16594373699032694
8.09306,0.511077,0.06315003224985358
7.35334,0.679886,0.09245948099775068
6.52429,0.12072,0.01850316279625829
6.82198,0.24274,0.035582045095412185
6.48825,0.177229,0.027315377798327746
6.22474,0.402897,0.06472511301676857
5.37042,0.407955,0.07596333247678952
4.73035,0.281363,0.05948037671631063
4.73243,0.173177,0.03659367386311049
4.80216,0.195312,0.040671697736018794
4.69788,0.209298,0.044551584970241906
4.50873,0.141872,0.0314660669412451
4.40817,0.182599,0.04142285801137434
4.13279,0.217948,0.052736287108708646
4.29931,0.196846,0.045785486508300166
4.55534,0.248528,0.05455750833088199
4.59273,0.259822,0.056572452550008374
3.7384,0.27485,0.07352075754333404
4.42934,0.721013,0.16278113669305133
5.37028,0.295894,0.05509843062186701
5.04968,0.298144,0.05904215712678823
4.38182,0.473556,0.1080729012145638
3.52572,0.144411,0.04095929342091828
3.70133,0.195626,0.052852893419392484
3.33371,0.153748,0.046119188531695915
3.19085,0.104661,0.032800351003651064
3.09053,0.180586,0.05843204887187634
2.62729,0.104259,0.03968309550906067
2.07951,0.214881,0.10333251583305682
1.54603,0.075329,0.0487241515365161
1.73181,0.195119,0.11266767139582286
